Name,ID,Sex
Robert Downey Jr.,nm0000375,M
Dwayne Johnson,nm0425005,M
Johnny Depp,nm0000136,M
Tom Hanks,nm0000158,M
Tom Cruise,nm0000129,M
Leonardo DiCaprio,nm0000138,M
Matt Damon,nm0000354,M
Brad Pitt,nm0000093,M
Denzel Washington,nm0000243,M
Samuel L. Jackson,nm0000168,M
Will Smith,nm0000226,M
Mark Wahlberg,nm0000242,M
Vin Diesel,nm0004874,M
Adam Sandler,nm0001191,M
Robert De Niro,nm0000134,M
Christian Bale,nm0000288,M
Russell Crowe,nm0000128,M
Al Pacino,nm0000199,M
Harrison Ford,nm0000148,M
Morgan Freeman,nm0000151,M
George Clooney,nm0000123,M
Daniel Day-Lewis,nm0000358,M
Liam Neeson,nm0000553,M
Michael Caine,nm0000323,M
Jack Nicholson,nm0000197,M
Hugh Jackman,nm0413168,M
Ryan Gosling,nm0331516,M
Sean Connery,nm0000125,M
Kevin Spacey,nm0000228,M
Chris Hemsworth,nm1165110,M
Anthony Hopkins,nm0000164,M
Matthew McConaughey,nm0000190,M
Bruce Willis,nm0000246,M
Gary Oldman,nm0000198,M
Edward Norton,nm0001570,M
Heath Ledger,nm0005132,M
Jared Leto,nm0001467,M
Jake Gyllenhaal,nm0350453,M
Joseph Gordon-Levitt,nm0330687,M
Tom Hardy,nm0362766,M
Paul Walker,nm0908094,M
Cillian Murphy,nm0614165,M
Chris Pine,nm1517976,M
Michael Fassbender,nm1055413,M
Tom Hiddleston,nm1089991,M
Channing Tatum,nm1475594,M
Charlie Hunnam,nm0402271,M
Chris Pratt,nm0695435,M
Karl Urban,nm0881631,M
Chris Evans,nm0262635,M
Henry Cavill,nm0147147,M
Ben Affleck,nm0000255,M
Jason Momoa,nm0597388,M
Ezra Miller,nm3009232,M
Armie Hammer,nm2309517,M
Jesse Eisenberg,nm0251986,M
Sebastian Stan,nm1659221,M
Jeremy Renner,nm0719637,M
Mark Ruffalo,nm0749263,M
Ryan Reynolds,nm0005351,M
Mark Hamill,nm0000434,M
Adam Driver,nm3485845,M
Domhnall Gleeson,nm1727304,M
Andrew Garfield,nm1940449,M
Tobey Maguire,nm0001497,M
Justin Timberlake,nm0005493,M
Jamie Foxx,nm0004937,M
Kevin Hart,nm0366389,M
Scarlett Johansson,nm0424060,F
Jennifer Lawrence,nm2225369,F
Charlize Theron,nm0000234,F
Angelina Jolie,nm0001401,F
Natalie Portman,nm0000204,F
Julia Roberts,nm0000210,F
Emma Stone,nm1297015,F
Jennifer Aniston,nm0000098,F
Emma Watson,nm0914612,F
Mila Kunis,nm0005109,F
Amy Adams,nm0010736,F
Meryl Streep,nm0000658,F
Jessica Alba,nm0004695,F
Keira Knightley,nm0461136,F
Sandra Bullock,nm0000113,F
Cate Blanchett,nm0000949,F
Anne Hathaway,nm0004266,F
Kate Winslet,nm0000701,F
Megan Fox,nm1083271,F
Rachel McAdams,nm1046097,F
Margot Robbie,nm3053338,F
Rachel Weisz,nm0001838,F
Gal Gadot,nm2933757,F
Amber Heard,nm1720028,F
Emilia Clarke,nm3592338,F
Isla Fisher,nm0279545,F
Lynda Carter,nm0004812,F
Robin Wright,nm0000705,F
Diane Lane,nm0000178,F
Emily Blunt,nm1289434,F
Anna Kendrick,nm0447695,F
Jessica Chastain,nm1567113,F